,ID,Title,Year,Rating,Genres,Director,Top_Cast_Member,Revenue,Production_Companies,Rating Category,Female,Male,Unknown,Total_Gender_Count,Female_Ratio,Male_Ratio,Revenue_millions,Budget,Budget_millions,log_Budget,log_Revenue,Primary_Genre
181,1422,The Departed,2006,8.2,"['Drama', 'Thriller', 'Crime']",Martin Scorsese,Jack Nicholson,291465000,"['Vertigo Entertainment', 'Media Asia Films', 'Initial Entertainment Group', 'Warner Bros. Pictures', 'Plan B Entertainment']",8-9,28.0,101.0,58.0,129.0,0.21705426356589147,0.7829457364341085,291.465,90000000,90.0,18.31532023940565,19.490430491366318,Drama
182,582,The Lives of Others,2006,8.0,"['Drama', 'Thriller']",Florian Henckel von Donnersmarck,Martina Gedeck,70000000,"['Creado Film', 'Wiedemann & Berg Film', 'ARD', 'Sony Pictures Classics', 'ARTE', 'Buena Vista International (Germany) GmbH', 'Beta Cinema']",7-8,16.0,41.0,20.0,57.0,0.2807017543859649,0.7192982456140351,70.0,2000000,2.0,14.508658238524095,18.064005814299346,Drama
183,1402,The Pursuit of Happyness,2006,7.9,['Drama'],Gabriele Muccino,Will Smith,307077295,"['Escape Artists', 'Relativity Media', 'Columbia Pictures', 'Overbrook Entertainment']",7-8,13.0,53.0,48.0,66.0,0.19696969696969696,0.803030303030303,307.077295,55000000,55.0,17.822843761378564,19.542610052362214,Drama
184,752,V for Vendetta,2006,7.9,"['Action', 'Thriller', 'Science Fiction']",James McTeigue,Natalie Portman,132511035,"['Virtual Studios', 'Anarchos Productions', 'Silver Pictures', 'Fünfte Babelsberg Film', 'Warner Bros. Productions', 'DC Vertigo']",7-8,36.0,140.0,191.0,176.0,0.20454545454545456,0.7954545454545454,132.511035,54000000,54.0,17.804494623047066,18.70217649048812,Action
185,4977,Paprika,2006,7.8,"['Animation', 'Mystery', 'Science Fiction', 'Thriller']",Satoshi Kon,Megumi Hayashibara,946590,"['Madhouse', 'Sony Pictures']",7-8,14.0,52.0,13.0,66.0,0.21212121212121213,0.7878787878787878,0.94659,0,0.0,0.0,13.760622388697275,Animation
186,14069,The Girl Who Leapt Through Time,2006,7.8,"['Fantasy', 'Animation', 'Drama', 'Science Fiction']",Mamoru Hosoda,Riisa Naka,3800000,"['Madhouse', 'Happinet Pictures', 'KADOKAWA', 'KADOKAWA Shoten', 'Q-TEC', 'Memory-Tech']",7-8,26.0,63.0,35.0,89.0,0.29213483146067415,0.7078651685393258,3.8,0,0.0,0.0,15.150511887854474,Fantasy
187,1417,Pan's Labyrinth,2006,7.8,"['Fantasy', 'Drama', 'War']",Guillermo del Toro,Ivana Baquero,83258226,"['Estudios Picasso', 'Esperanto Filmoj', 'Tequila Gang', 'Telecinco Cinema']",7-8,23.0,45.0,92.0,68.0,0.3382352941176471,0.6617647058823529,83.258226,19000000,19.0,16.759949589762293,18.237457504764997,Fantasy
188,19026,Azur & Asmar: The Princes' Quest,2006,7.7,"['Animation', 'Family']",Michel Ocelot,Cyril Mourali,0,"['Nord-Ouest Films', 'Studio O', 'Mac Guff Ligne', 'France 3 Cinéma', 'Artémis Productions', 'Intuition Films', 'Lucky Red', 'Zahorí Media', 'Auvergne-Rhône-Alpes Cinéma']",7-8,3.0,9.0,4.0,12.0,0.25,0.75,0.0,0,0.0,0.0,0.0,Animation
189,773,Little Miss Sunshine,2006,7.7,"['Comedy', 'Drama']",Jonathan Dayton,Greg Kinnear,100523181,"['Fox Searchlight Pictures', 'Bona Fide Productions', 'Big Beach']",7-8,39.0,56.0,77.0,95.0,0.4105263157894737,0.5894736842105263,100.523181,8000000,8.0,15.894952224644102,18.425898925530607,Comedy
190,13002,Barbie in The 12 Dancing Princesses,2006,7.7,"['Animation', 'Family']",Greg Richardson,Kelly Sheridan,0,"['Mainframe Entertainment', 'Mattel Entertainment']",7-8,16.0,13.0,11.0,29.0,0.5517241379310345,0.4482758620689655,0.0,0,0.0,0.0,0.0,Animation
191,9693,Children of Men,2006,7.6,"['Drama', 'Action', 'Thriller', 'Science Fiction']",Alfonso Cuarón,Clive Owen,70595464,"['Universal Pictures', 'Strike Entertainment', 'Hit & Run Productions']",7-8,71.0,145.0,231.0,216.0,0.3287037037037037,0.6712962962962963,70.595464,76000000,76.0,18.1462439114085,18.07247646527283,Drama
192,1544,Imagine Me & You,2006,7.6,"['Drama', 'Comedy', 'Romance']",Ol Parker,Piper Perabo,2455831,"['BBC Film', 'Filmstiftung Nordrhein-Westfalen', 'Ealing Studios', 'Fragile Films', 'Focus Features', 'Cougar Films Ltd.', 'Minotaur Film Partnership No. 3', 'RTL', 'X Filme Creative Pool']",7-8,23.0,23.0,19.0,46.0,0.5,0.5,2.455831,0,0.0,0.0,14.713976162000721,Drama
193,14784,The Fall,2006,7.6,"['Adventure', 'Fantasy', 'Drama']",Tarsem Singh,Lee Pace,3669465,"['Absolute Entertainment', 'Googly Films', 'Deep Films', 'Tree Top Films Inc.', 'RadicalMedia', 'Summit Entertainment']",7-8,9.0,42.0,38.0,51.0,0.17647058823529413,0.8235294117647058,3.669465,30000000,30.0,17.216707972959764,15.115556705356813,Adventure
194,1579,Apocalypto,2006,7.6,"['Action', 'Drama', 'History']",Mel Gibson,Rudy Youngblood,120673227,"['Icon Entertainment International', 'Icon Productions', 'Touchstone Pictures']",7-8,31.0,162.0,313.0,193.0,0.16062176165803108,0.8393782383419689,120.673227,40000000,40.0,17.50439003707821,18.608596855334238,Action
195,36557,Casino Royale,2006,7.5,"['Adventure', 'Action', 'Thriller']",Martin Campbell,Daniel Craig,599045960,"['EON Productions', 'Stillking Films', 'Columbia Pictures', 'Studio Babelsberg', 'Danjaq', 'Metro-Goldwyn-Mayer', 'Casino Royale US', 'Casino Royale Productions', 'United Artists']",7-8,44.0,129.0,253.0,173.0,0.2543352601156069,0.7456647398843931,599.04596,150000000,150.0,18.826145858727198,20.21084888268541,Adventure
196,1372,Blood Diamond,2006,7.5,"['Drama', 'Thriller', 'Action']",Edward Zwick,Leonardo DiCaprio,171720398,"['Virtual Studios', 'Spring Creek Pictures', 'Bedford Falls Productions', 'Initial Entertainment Group', 'Lonely Film Productions GmbH & Co. KG.', 'Warner Bros. Pictures', 'Liberty Pictures']",7-8,25.0,79.0,154.0,104.0,0.2403846153846154,0.7596153846153846,171.720398,100000000,100.0,18.420680753952364,18.9613781248679,Drama
197,7549,Fearless,2006,7.5,"['Drama', 'Action']",Ronny Yu,Jet Li,68072848,"['China Film Group Corporation', 'Beijing Film Studio', 'China Film Co-Production Corporation', 'Hero China International', 'Wide River Investments', 'Rogue Pictures', 'Focus Features']",7-8,15.0,67.0,45.0,82.0,0.18292682926829268,0.8170731707317073,68.072848,0,0.0,0.0,18.036088998522132,Drama
