State,,,,,,,Denominators,,VEP Components (Modifications to VAP to Calculate VEP),,,,,,
,Estimated or Actual 2018 Total Ballots Counted VEP Turnout Rate,2018 Vote for Highest Office VEP Turnout Rate,Status,Source,Estimated or Actual 2018 Total Ballots Counted,2018 Vote for Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible,State Abv
Hawaii,39.5%,38.7%,Final,https://elections.hawaii.gov/election-results/,"398,657","390,843","1,009,561","1,115,620",9.0%,"5,474",0,0,"5,474",,HI
Idaho,48.6%,48.0%,Certified,https://sos.idaho.gov/elect/results/2018/General/statewide_totals.html,"612,536","605,131","1,260,630","1,350,319",4.3%,"7,949","32,409","5,054","31,476",,ID
Illinois,51.5%,50.8%,Official,https://www.elections.il.gov/Downloads/ElectionInformation/VoteTotals/2018GEOfficialVote.pdf,"4,635,541","4,570,842","8,999,121","9,848,647",8.2%,"42,017",0,0,"42,017",,IL
Indiana,46.5%,46.0%,Official,https://indianaenr.blob.core.usgovcloudapi.net/site/index.html,"2,308,258","2,282,565","4,960,307","5,176,820",3.7%,"24,948",0,0,"24,948",,IN
Iowa,57.9%,57.6%,Certified,https://results.enr.clarityelections.com/IA/91323/Web02-state.220747/#/,"1,334,279","1,327,638","2,303,627","2,431,107",3.9%,"8,888","29,254","6,051","31,614",,IA
Kansas,51.1%,50.8%,Official,https://www.kssos.org/elections/18elec/2018_General_Election_Official_Votes_Cast.pdf,"1,060,000","1,055,566","2,076,345","2,215,608",5.2%,"9,613","16,654","4,830","23,936",,KS
Kentucky,48.7%,47.4%,Certified,https://elect.ky.gov/results/2010-2019/Documents/2018GeneralElectionCertified.pdf,"1,612,353","1,569,798","3,310,636","3,468,416",2.6%,"22,868","48,457","15,383","65,871",,KY
Louisiana,45.1%,43.4%,Official,https://voterportal.sos.la.gov/Graphical,"1,519,405","1,460,585","3,367,670","3,560,271",2.9%,"35,543","40,174","30,907","89,349",,LA
Maine,59.9%,58.8%,Certified,https://www.maine.gov/sos/cec/elec/results/index.html,"646,013","634,409","1,078,321","1,097,650",1.8%,0,0,0,0,,ME
Maryland,54.2%,53.5%,Certified,https://elections.maryland.gov/press_room/index.html,"2,335,128","2,304,512","4,311,082","4,715,595",8.2%,"19,382",0,0,"19,382",,MD
Massachusetts,54.6%,53.7%,Certified,http://www.sec.state.ma.us/ele/elepdf/2018_Return_of_Votes.pdf,"2,752,665","2,707,090","5,037,366","5,546,390",9.0%,"8,780",0,0,"8,780",,MA
Michigan,57.7%,56.5%,Official,https://mielections.us/election/results/2018GEN_CENR.html,"4,341,340","4,250,585","7,519,962","7,849,909",3.7%,"40,502",0,0,"40,502",,MI
Minnesota,64.2%,63.8%,Certified,https://electionresults.sos.state.mn.us/20181106,"2,611,365","2,596,879","4,070,605","4,347,041",4.7%,"10,158","96,852","7,075","72,439",,MN
Mississippi,43.8%,42.7%,Certified,http://www.sos.ms.gov/Elections-Voting/Pages/2018-General-Election.aspx,"961,025","936,215","2,193,563","2,278,027",1.8%,"19,150","29,067","8,645","44,363",,MS
Missouri,53.3%,53.3%,Official,https://enr.sos.mo.gov/,"2,442,306","2,442,289","4,583,152","4,773,831",2.4%,"31,956","43,799","17,792","74,713",,MO
Montana,61.3%,60.7%,Official,https://sosmt.gov/wp-content/uploads/2018GeneralReportStateCanvass.pdf,"509,213","504,384","830,480","843,058",1.0%,"3,795",0,0,"3,795",,MT
