State,,,,,,,Denominators,,VEP Components (Modifications to VAP to Calculate VEP),,,,,,
,Source,,Total Ballots Counted (Estimate),Vote for Highest Office (President),VEP Turnout Rate (Total Ballots Counted),VEP Turnout Rate (Highest Office),Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible,State Abv
Nevada,https://silverstateelection.nv.gov/,OFFICIAL,"1,407,754","1,405,376",66.1%,66.0%,"2,128,186","2,421,837",11.6%,"12,399",0,0,"12,399",,NV
New Hampshire,https://sos.nh.gov/elections/elections/election-results/2020/general-election/,OFFICIAL,"814,499","804,991",74.9%,74.0%,"1,087,140","1,123,863",3.0%,"2,635",0,0,"2,635",,NH
New Jersey,https://www.state.nj.us/state/elections/election-information-2020.shtml,OFFICIAL,"4,635,585","4,549,353",72.0%,70.6%,"6,442,755","7,271,361",11.1%,"18,099",0,0,"18,099",,NJ
New Mexico,https://nmresults.azurewebsites.net/Default.aspx,OFFICIAL,"928,230","923,965",61.0%,60.8%,"1,520,916","1,639,967",6.2%,"6,887","12,090","2,805","17,188",,NM
New York,https://www.elections.ny.gov/2020ElectionResults.html,OFFICIAL (REVISED),"8,690,139","8,616,861",61.1%,60.6%,"14,223,694","15,990,656",10.5%,"42,408",0,"45,192","87,600",,NY
North Carolina,https://www.ncsbe.gov/results-data/election-results,OFFICIAL,"5,545,848","5,524,804",72.8%,72.5%,"7,619,132","8,180,315",5.7%,"33,640","80,068","14,215","97,497",,NC
North Dakota,https://results.sos.nd.gov/Default.aspx?map=Cty,OFFICIAL,"364,251","361,819",63.4%,63.0%,"574,506","594,267",3.0%,"1,679",0,0,"1,679",,ND
Ohio,https://www.ohiosos.gov/elections/election-results-and-data/2020/,OFFICIAL,"5,974,121","5,922,202",67.0%,66.5%,"8,911,864","9,198,716",2.6%,"49,892",0,0,"49,892",,OH
Oklahoma,https://www.ok.gov/elections/Election_Info/2020_November_General_Election.html,OFFICIAL,"1,565,000","1,560,699",55.3%,55.2%,"2,829,329","3,014,541",4.3%,"27,558","41,562","1,780","55,106",,OK
Oregon,https://sos.oregon.gov/voting/Pages/current-election.aspx,OFFICIAL,"2,413,890","2,374,321",76.2%,75.0%,"3,166,794","3,374,426",5.7%,"13,795",0,0,"13,795",,OR
Pennsylvania*,https://www.electionreturns.pa.gov/,OFFICIAL,"6,958,551","6,915,283",70.1%,69.7%,"9,927,102","10,336,614",3.5%,"44,148",0,0,"44,148",,PA
Rhode Island,https://www.ri.gov/election/results/2020/general_election/,OFFICIAL,"522,488","517,757",63.1%,62.6%,"827,594","887,378",6.4%,"2,766",0,0,"2,766",,RI
South Carolina,https://www.enr-scvotes.org/SC/106502/Web02-state.264691/#/?undefined,OFFICIAL,"2,533,010","2,513,329",65.9%,65.4%,"3,842,990","4,030,234",3.6%,"18,587","31,975","4,980","43,392",,SC
South Dakota,https://sdsos.gov/elections-voting/assets/2020GeneralStateCanvassFinal&Certificate.pdf,OFFICIAL,"427,529","422,609",66.4%,65.6%,"643,963","670,773",2.4%,"3,867","5,989","3,201","10,781",,SD
